Channel_Name,Subscribers,Views,Total_Videos,playlist_id,Views_per_Video
Tina Huang,1010000,44044312,277,UU2UXDak6o7rBm23k3Vv5dww,159004.73646209386
techTFQ,383000,22383059,145,UUnz-ZXXER4jOvuED5trXfEA,154365.92413793103
Luke Barousse,559000,27997700,165,UULLw7jmFsvfIVaUFsLs8mlQ,169683.0303030303
Alex The Analyst,1160000,54647567,397,UU7cs8q-gJRlGwj4A8OmCmXg,137651.30226700252
Ken Jee,274000,9526726,288,UUiT9RITQ9PW6BhXK0y2jaeg,33078.90972222222
